City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,richards bay,-28.783,32.0377,21.05,94,100,5.51,ZA,1702171494
214,bouna,9.2667,-3.0,24.6,18,33,1.51,CI,1702171919
215,riverton,40.5219,-111.9391,0.31,68,0,4.47,US,1702171919
216,malango,-2.9627,119.9001,28.48,57,63,0.76,ID,1702171919
217,alvear,-29.0968,-56.5504,21.09,70,97,4.76,AR,1702171919
218,vorgashor,67.5833,63.95,-23.71,100,100,2.19,RU,1702171798
219,scottburgh,-30.2867,30.7532,20.47,91,100,6.19,ZA,1702171920
220,upington,-28.4478,21.2561,21.21,35,0,3.09,ZA,1702171920
221,brookings,44.3114,-96.7984,-4.23,84,100,7.2,US,1702171487
222,atafu village,-8.5421,-172.5159,29.18,75,96,4.17,TK,1702171512
223,taltal,-25.4,-70.4833,17.92,82,17,1.2,CL,1702171821
224,salmon arm,50.6998,-119.3024,-0.38,93,100,0.0,CA,1702171920
225,caleta de carquin,-11.0925,-77.6267,19.91,85,100,4.06,PE,1702171920
226,polyarnyy,69.1989,33.4478,-13.86,93,69,7.21,RU,1702171808
227,aasiaat,68.7098,-52.8699,-10.99,86,100,2.97,GL,1702171779
228,lautoka,-17.6167,177.4667,30.92,51,40,5.66,FJ,1702171920
229,tolanaro,-25.0319,46.9987,24.04,83,40,3.09,MG,1702171536
230,mhangura,-16.8939,30.1683,23.75,40,95,1.03,ZW,1702171920
231,sault ste. marie,46.5168,-84.3333,5.16,96,100,6.17,CA,1702171736
232,west bay,19.3667,-81.4167,27.22,84,20,3.09,KY,1702171921
233,ponta delgada,37.7333,-25.6667,19.4,100,75,10.29,PT,1702171876
234,badger,64.8,-147.5333,-23.69,79,75,2.06,US,1702171776
235,betio village,1.358,172.9211,31.02,77,32,3.29,KI,1702171921
236,el porvenir,13.7617,-87.3458,22.1,73,9,2.91,HN,1702171751
237,fontanelas,38.8472,-9.4372,16.99,98,100,2.83,PT,1702171921
238,priob'ye,62.5206,65.5964,-36.65,100,10,0.95,RU,1702171921
239,los frentones,-26.4077,-61.4137,23.42,89,100,3.07,AR,1702171921
240,walvis bay,-22.9575,14.5053,15.61,88,0,2.06,NA,1702171489
241,fort bliss,31.8136,-106.4122,8.08,21,0,5.81,US,1702171922
242,cockburn town,21.4612,-71.1419,26.46,79,88,12.4,TC,1702171922
243,hanzhong,33.0728,107.0303,12.09,65,100,0.46,CN,1702171922
244,yoloten,37.2989,62.3597,7.52,55,100,5.83,TM,1702171922
245,taunggyi,20.7833,97.0333,17.2,84,11,0.57,MM,1702171923
